image_id,blur_path,sharp_path,rl_path,blur_level,estimated_angle,estimated_kernel_length,blur_detection_count,rl_detection_count,sharp_detection_count,blur_avg_conf,rl_avg_conf,sharp_avg_conf,blur_runtime_sec,rl_runtime_sec,sharp_runtime_sec
173183,C:\Users\User\comp6001_assignment1\data\raw\cocoblur\val2017\000000173183.jpg,C:\Users\User\comp6001_assignment1\data\raw\coco2017\val2017\000000173183.jpg,C:\Users\User\comp6001_assignment1\data\processed\coco_rl_restored\173183.jpg,low_blur,-45.0,9,0,0,0,0.0,0.0,0.0,4.281161699999757,0.05995119999988674,0.05693840000003547
297681,C:\Users\User\comp6001_assignment1\data\raw\cocoblur\val2017\000000297681.jpg,C:\Users\User\comp6001_assignment1\data\raw\coco2017\val2017\000000297681.jpg,C:\Users\User\comp6001_assignment1\data\processed\coco_rl_restored\297681.jpg,medium_blur,-1.0,9,2,3,2,0.5552932024002075,0.33759334683418274,0.5552932024002075,0.7643734000002951,0.10368090000065422,0.08035470000049827
306733,C:\Users\User\comp6001_assignment1\data\raw\cocoblur\val2017\000000306733.jpg,C:\Users\User\comp6001_assignment1\data\raw\coco2017\val2017\000000306733.jpg,C:\Users\User\comp6001_assignment1\data\processed\coco_rl_restored\306733.jpg,medium_blur,-11.500003814697266,9,3,3,3,0.5678618550300598,0.44112133979797363,0.5678618550300598,0.13518269999985932,0.140013899999758,0.15564249999988533
125806,C:\Users\User\comp6001_assignment1\data\raw\cocoblur\val2017\000000125806.jpg,C:\Users\User\comp6001_assignment1\data\raw\coco2017\val2017\000000125806.jpg,C:\Users\User\comp6001_assignment1\data\processed\coco_rl_restored\125806.jpg,low_blur,-45.0,9,3,2,3,0.5103447437286377,0.7859886884689331,0.5103447437286377,0.2629756999995152,0.0788155000000188,0.08889720000024681
82807,C:\Users\User\comp6001_assignment1\data\raw\cocoblur\val2017\000000082807.jpg,C:\Users\User\comp6001_assignment1\data\raw\coco2017\val2017\000000082807.jpg,C:\Users\User\comp6001_assignment1\data\processed\coco_rl_restored\82807.jpg,high_blur,-45.0,9,3,2,3,0.5369355082511902,0.5649828314781189,0.5369355082511902,0.41485670000020036,0.07309970000005706,0.09784450000006473
10977,C:\Users\User\comp6001_assignment1\data\raw\cocoblur\val2017\000000010977.jpg,C:\Users\User\comp6001_assignment1\data\raw\coco2017\val2017\000000010977.jpg,C:\Users\User\comp6001_assignment1\data\processed\coco_rl_restored\10977.jpg,high_blur,0.0,9,4,2,4,0.5240150094032288,0.6256142258644104,0.5240150094032288,0.1297076000000743,0.0835650999997597,0.11995329999990645
67180,C:\Users\User\comp6001_assignment1\data\raw\cocoblur\val2017\000000067180.jpg,C:\Users\User\comp6001_assignment1\data\raw\coco2017\val2017\000000067180.jpg,C:\Users\User\comp6001_assignment1\data\processed\coco_rl_restored\67180.jpg,low_blur,-45.0,9,2,1,2,0.6162430047988892,0.7864153385162354,0.6162430047988892,0.3502440000002025,0.1052932000002329,0.11486080000031507
286708,C:\Users\User\comp6001_assignment1\data\raw\cocoblur\val2017\000000286708.jpg,C:\Users\User\comp6001_assignment1\data\raw\coco2017\val2017\000000286708.jpg,C:\Users\User\comp6001_assignment1\data\processed\coco_rl_restored\286708.jpg,medium_blur,45.0,9,1,1,1,0.7220604419708252,0.7676859498023987,0.7220604419708252,0.3206302999997206,0.09656210000048304,0.135811800000738
280325,C:\Users\User\comp6001_assignment1\data\raw\cocoblur\val2017\000000280325.jpg,C:\Users\User\comp6001_assignment1\data\raw\coco2017\val2017\000000280325.jpg,C:\Users\User\comp6001_assignment1\data\processed\coco_rl_restored\280325.jpg,low_blur,-45.0,9,2,0,2,0.5972381234169006,0.0,0.5972381234169006,0.11553339999954915,0.07456629999978759,0.10879540000041743
183716,C:\Users\User\comp6001_assignment1\data\raw\cocoblur\val2017\000000183716.jpg,C:\Users\User\comp6001_assignment1\data\raw\coco2017\val2017\000000183716.jpg,C:\Users\User\comp6001_assignment1\data\processed\coco_rl_restored\183716.jpg,high_blur,-31.0,9,4,3,4,0.661844789981842,0.6980311870574951,0.661844789981842,0.19986509999944246,0.15518630000042322,0.13819490000059886
