filename,blur_level,blur_psnr,rl_psnr,rl_psnr_gain,blur_ssim,rl_ssim,rl_runtime_sec
000102.png,low_blur,37.99635391721799,22.954708212963645,-15.041645704254343,0.9789594483626063,0.7567535640165411,0.3205557000001136
000101.png,medium_blur,36.39649396144434,23.51879249895037,-12.877701462493974,0.9744424565000488,0.7676119151032322,0.271223399999144
000105.png,medium_blur,35.4083419959723,23.070006218551733,-12.338335777420568,0.9714777869051044,0.7647350941418689,0.29328829999940353
000166.png,low_blur,34.382201264195615,22.203030301545557,-12.179170962650058,0.9694382122484363,0.6851457859551339,0.2800698000000921
000121.png,low_blur,34.2104313522409,22.046464473925038,-12.163966878315865,0.967430609761892,0.7013281678097285,0.284013500000583
002175.png,low_blur,36.83464152729041,24.784914629557196,-12.049726897733212,0.9775189069801334,0.8047109511595819,0.31369720000020607
000179.png,medium_blur,34.91623291599866,22.992905492028875,-11.923327423969788,0.9689497424756056,0.7245987190902251,0.2647428000000218
002179.png,low_blur,36.13334673961526,24.245968679567195,-11.887378060048068,0.9717265285348637,0.7854645690902397,0.28279159999965486
000107.png,medium_blur,34.83621502371501,23.140985042068838,-11.695229981646175,0.9693635627383369,0.76391962235296,0.31599890000052255
001032.png,low_blur,34.812454795649316,23.264121747613547,-11.548333048035769,0.978450340053454,0.7635320852273743,0.3040496000003259
